param:
x [*] :=
  1 0           40 0           79 0          118 1          157 0
  2 0           41 0           80 0          119 0          158 1
  3 0           42 0           81 0          120 0          159 1
  4 1           43 0           82 0          121 0          160 0
  5 0           44 1           83 0          122 0          161 0
  6 0           45 1           84 0          123 0          162 1
  7 0           46 0           85 0          124 0          163 0
  8 0           47 0           86 0          125 1          164 0
  9 1           48 1           87 0          126 0          165 0
 10 0           49 0           88 1          127 0          166 0
 11 0           50 0           89 0          128 0          167 1
 12 0           51 1           90 0          129 0          168 0
 13 0           52 1           91 0          130 0          169 0
 14 0           53 0           92 0          131 0          170 0
 15 0           54 0           93 0          132 0          171 0
 16 1           55 0           94 0          133 1          172 0
 17 0           56 1           95 0          134 0          173 0
 18 0           57 0           96 0          135 0          174 0
 19 0           58 0           97 0          136 0          175 1
 20 0           59 0           98 0          137 0          176 0
 21 0           60 0           99 0          138 0          177 0
 22 1           61 0          100 0          139 1          178 0
 23 0           62 1          101 1          140 0          179 1
 24 0           63 0          102 0          141 0          180 1
 25 0           64 0          103 0          142 0          181 0
 26 0           65 0          104 0          143 0          182 0
 27 0           66 1          105 0          144 0          183 0
 28 1           67 0          106 0          145 0          184 0
 29 0           68 0          107 1          146 0          185 0
 30 0           69 0          108 0          147 0          186 0
 31 0           70 0          109 0          148 0          187 0
 32 0           71 0          110 0          149 0          188 0
 33 0           72 0          111 1          150 0          189 1
 34 0           73 0          112 1          151 1          190 0
 35 0           74 0          113 0.759542   152 0          191 1
 36 0           75 1          114 0          153 0          192 0
 37 1           76 0          115 1          154 0          193 0
 38 1           77 1          116 0          155 0          194 1
 39 0           78 0          117 0          156 0          195 0
;

