param:
x [*] :=
  1 0    21 0    41 0    61 0    81 0   101 1   121 0   141 0   161 0   181 0
  2 0    22 1    42 0    62 1    82 0   102 0   122 0   142 0   162 1   182 0
  3 0    23 0    43 0    63 0    83 0   103 0   123 0   143 0   163 0   183 0
  4 1    24 0    44 1    64 0    84 0   104 0   124 0   144 0   164 1   184 0
  5 0    25 0    45 1    65 0    85 0   105 0   125 1   145 0   165 0   185 0
  6 0    26 0    46 0    66 1    86 0   106 0   126 0   146 0   166 0   186 0
  7 0    27 0    47 0    67 0    87 0   107 0   127 0   147 0   167 1   187 0
  8 0    28 1    48 1    68 0    88 1   108 0   128 0   148 0   168 0   188 0
  9 1    29 0    49 0    69 0    89 0   109 0   129 0   149 0   169 0   189 1
 10 0    30 0    50 0    70 1    90 0   110 0   130 0   150 0   170 0   190 0
 11 0    31 0    51 1    71 0    91 0   111 1   131 0   151 1   171 0   191 1
 12 0    32 0    52 1    72 0    92 0   112 1   132 0   152 0   172 0   192 0
 13 0    33 0    53 0    73 1    93 0   113 0   133 1   153 0   173 0   193 0
 14 0    34 0    54 0    74 0    94 0   114 0   134 0   154 0   174 0   194 1
 15 0    35 0    55 0    75 1    95 0   115 1   135 0   155 0   175 1   195 0
 16 1    36 0    56 1    76 0    96 0   116 0   136 0   156 0   176 0
 17 0    37 1    57 0    77 1    97 0   117 0   137 0   157 0   177 0
 18 0    38 1    58 0    78 0    98 0   118 1   138 0   158 1   178 0
 19 0    39 0    59 0    79 0    99 0   119 0   139 1   159 1   179 1
 20 0    40 0    60 0    80 0   100 0   120 0   140 0   160 0   180 1
;

